method,wall_time,picard_iterations,nusselt,rms_velocity,valid_physics,velocity_fallbacks,velocity_solves,cg_iters
reference_direct,0.3111,4,0.9894,78.6279,yes,-,-,-
meta_blocked,2.2419,4,1.0098,83.6187,yes,2,2,0
