n,dofs,L2_u,order_L2_u,H1_u,order_H1_u,L2_p,order_L2_p,relative_residual
2,108,0.25885338958541493,,2.284359391366667,,0.39442556712728327,,3.7516464910018144e-16
3,256,0.14654049654625534,1.4032280693841854,1.6843571079882882,0.7514868045230688,0.5347693977112253,-0.7507555386920276,1.7441612008669092e-16
4,500,0.0912508327240372,1.6465735768456464,1.313652324169174,0.8640533594008574,0.5145725204882615,0.13382524208139726,5.051254017329799e-16
6,1372,0.043747567400526946,1.8131673835264388,0.9027870275112035,0.9250608434280215,0.371077534191718,0.8062974207178925,6.594823941754641e-16
8,2916,0.025227720037425135,1.9135450911081306,0.6842544563463695,0.9634135789562871,0.2588992355172903,1.251284415473389,8.90275731029331e-16
