method,wall_time,picard_iterations,nusselt,rms_velocity,valid_physics,velocity_fallbacks,velocity_solves,cg_iters
reference_direct,0.4353 +- 0.1080,"[4, 4, 4]",0.9956 +- 0.0070,78.8706 +- 1.1802,yes,-,-,-
meta_blocked,2.9970 +- 0.4520,-,0.9956 +- 0.0070,78.8706 +- 1.1802,1.0000,2.0000,2.0000,0.0000
