method,viscosity_contrast,n_seeds,element_contrast_mean,element_contrast_std,setup_s_mean,setup_s_std,solve_s_mean,solve_s_std,total_s_mean,total_s_std,linear_solver_calls_mean,velocity_krylov_iterations_mean,velocity_krylov_iterations_std,python_peak_bytes_mean,max_relative_residual_mean,max_error_vs_direct_mean,velocity_fallbacks_mean,pressure_fallbacks_mean,full_fallbacks_mean
direct,1.0,3,1.0,0.0,0.011957403666667569,8.738592396246252e-05,0.00024402766666605422,1.1488822432846314e-05,0.012206819000000499,0.00010122483877256962,3.0,0.0,0.0,250733.33333333334,1.2772884038877528e-15,0.0,0.0,0.0,0.0
direct,100.0,3,56.07077101304975,0.18871831090556349,0.014893444333326991,7.63413777199036e-06,0.00029087466666884626,5.418315995764165e-06,0.015189027666667224,1.1678615053016688e-05,3.0,0.0,0.0,250128.0,1.2677754564144123e-15,0.0,0.0,0.0,0.0
direct,10000.0,3,2656.3196723920405,17.668149169305163,0.015043666999998115,1.0671962240874362e-05,0.00029640266667030346,6.0928018905108144e-06,0.01534425000000065,6.280757651563708e-06,3.0,0.0,0.0,250128.0,1.0795421003482565e-15,0.0,0.0,0.0,0.0
direct,1000000.0,3,105619.27996186336,1119.3189253722,0.015118958333331989,5.6727210317359266e-05,0.00029474966667445795,8.413678241686027e-06,0.015418194333335578,6.519561245126536e-05,3.0,0.0,0.0,250128.0,1.0541723021248305e-15,0.0,0.0,0.0,0.0
meta_amg,1.0,3,1.0,0.0,1.1935389041900635,0.17860787944648102,0.7871424431432708,0.08236345647079664,1.9806813473333342,0.258102963359597,3.0,117.0,7.788880963698615,1403060.3333333333,4.5433012474011555e-09,1.4070311304034328e-08,0.0,0.0,0.0
meta_amg,100.0,3,56.07077101304975,0.18871831090556349,1.1982568105061848,0.15033866449516436,0.8631878284938139,0.09651466843081792,2.061444638999999,0.23365140243276922,3.0,141.0,14.352700094407323,1394872.3333333333,4.707493940224847e-09,7.563171568550892e-09,0.0,0.0,0.0
meta_amg,10000.0,3,2656.3196723920405,17.668149169305163,1.1084205309549968,0.17448533844911748,0.8540382330450077,0.0835977632586967,1.9624587640000044,0.25602629275578215,3.0,154.66666666666666,11.145502331533658,1395903.0,4.574112593279463e-09,6.1366475960442204e-09,0.0,0.0,0.0
meta_amg,1000000.0,3,105619.27996186336,1119.3189253722,1.1640281677246094,0.1412595235742218,0.9048790406087335,0.08141786476288493,2.068907208333343,0.2224587283907973,3.0,162.33333333333334,7.586537784494028,1396933.6666666667,4.7192494302366576e-09,1.870889226294159e-08,0.0,0.0,0.0
traditional_amg,1.0,3,1.0,0.0,1.8414382934570312,0.004034953408101412,1.427477803876302,0.01864832273678681,3.2689160973333333,0.01838041160158639,3.0,115.0,1.4142135623730951,990493.3333333334,3.779020591399402e-09,8.333429421689568e-09,0.0,0.0,0.0
traditional_amg,100.0,3,56.07077101304975,0.18871831090556349,1.952213446299235,0.015071334645668143,1.5555876233674308,0.006727141879198723,3.507801069666666,0.010008282977409251,3.0,131.0,1.4142135623730951,963076.0,1.9921063502806526e-09,6.940604236840917e-09,0.0,0.0,0.0
traditional_amg,10000.0,3,2656.3196723920405,17.668149169305163,1.6009786128997803,0.19535395781045314,1.479949442766883,0.12974911023803942,3.080928055666663,0.32367275576109905,3.0,152.0,7.0710678118654755,897890.6666666666,4.574112593279463e-09,5.576564335926366e-09,0.0,0.0,0.0
traditional_amg,1000000.0,3,105619.27996186336,1119.3189253722,1.8420696258544922,0.031052861132268253,1.632885582145505,0.021989949989887146,3.4749552079999972,0.029859123147708864,3.0,146.0,3.7416573867739413,921349.3333333334,1.935575117131882e-09,1.7261596017014675e-08,0.0,0.0,0.0
