dimension,mesh_mode,viscosity_mode,n,stokes_dofs,method,n_samples,setup_s_mean,setup_s_ci95_half,solve_s_mean,solve_s_ci95_half,total_s_mean,total_s_ci95_half,method_peak_rss_mib_mean,method_peak_rss_mib_ci95_half,method_peak_rss_delta_mib_mean,velocity_krylov_mean,max_residual_mean,max_error_vs_direct_mean,failure_rate,unavailable_rate,numerical_failure_rate
3,structured,temperature_dependent,2,108,pyamg_fresh,1,0.0059299468994140625,,0.09550592810058589,,0.10143587499999995,,175.484375,,2.078125,88.0,1.3944833346101744e-09,1.4952955121856395e-09,0.0,0.0,0.0
3,structured,temperature_strain_rate,2,108,hypre_boomeramg_fresh,1,0.0005137920379638672,,0.09708216696203631,,0.09759595900000018,,169.515625,,0.9375,54.0,7.815627647078471e-10,5.229191559799488e-09,0.0,0.0,0.0
3,structured,temperature_strain_rate,2,108,petsc_gamg_fresh,1,0.0012218952178955078,,0.11385656278210443,,0.11507845799999994,,169.84375,,0.96875,171.0,8.406077549023904e-09,5.008952116870695e-09,0.0,0.0,0.0
3,structured,temperature_strain_rate,2,108,pyamg_fresh,1,0.005759000778198242,,0.11221924922180171,,0.11797824999999995,,175.390625,,1.96875,72.0,2.450754225255346e-09,5.0825182584395974e-09,0.0,0.0,0.0
3,unstructured,isoviscous,2,64,hypre_boomeramg_fresh,1,0.0004661083221435547,,0.05844268267785657,,0.05890879100000013,,169.5625,,0.953125,64.0,3.3916431557631925e-11,6.946786932577499e-10,0.0,0.0,0.0
3,unstructured,isoviscous,2,64,petsc_gamg_fresh,1,0.0008900165557861328,,0.06817685844421395,,0.06906687500000008,,170.15625,,0.875,128.0,2.1489709481101146e-09,4.035301444752256e-09,0.0,0.0,0.0
3,unstructured,isoviscous,2,64,pyamg_fresh,1,0.005841255187988281,,0.0791535358120119,,0.08499479100000018,,175.78125,,2.015625,96.0,1.5964323679314152e-10,6.365127115165803e-10,0.0,0.0,0.0
3,unstructured,temperature_dependent,2,64,hypre_boomeramg_fresh,1,0.0004658699035644531,,0.056001547096435456,,0.05646741699999991,,169.515625,,0.90625,64.0,8.068111601201621e-10,1.2916881081973658e-09,0.0,0.0,0.0
3,unstructured,temperature_dependent,2,64,petsc_gamg_fresh,1,0.00098419189453125,,0.07125105810546861,,0.07223524999999986,,170.125,,0.796875,132.0,6.607945807054168e-09,1.4638531952929366e-09,0.0,0.0,0.0
3,unstructured,temperature_dependent,2,64,pyamg_fresh,1,0.005774021148681641,,0.07106410385131845,,0.07683812500000009,,175.671875,,1.984375,80.0,6.577899059735272e-09,4.544839868036956e-09,0.0,0.0,0.0
3,unstructured,temperature_strain_rate,2,64,hypre_boomeramg_fresh,1,0.0004725456237792969,,0.08261262037622052,,0.08308516599999982,,169.53125,,0.984375,72.0,1.140904415119103e-09,1.1392507794526905e-09,0.0,0.0,0.0
3,unstructured,temperature_strain_rate,2,64,petsc_gamg_fresh,1,0.0009229183197021484,,0.09365266468029776,,0.09457558299999991,,170.15625,,0.796875,144.0,7.836276711877315e-09,5.9114226561523194e-09,0.0,0.0,0.0
3,unstructured,temperature_strain_rate,2,64,pyamg_fresh,1,0.00548863410949707,,0.10570753289050305,,0.11119616700000012,,175.625,,1.9375,108.0,2.436362012403793e-09,1.0082855201323414e-09,0.0,0.0,0.0
