method,wall_time,picard_iterations,nusselt,rms_velocity,valid_physics,velocity_fallbacks,velocity_solves,velocity_krylov_iters,linear_relative_residual,nusselt_relative_error,rms_velocity_relative_error,velocity_field_relative_error,blocked_solver_valid,direct_fallback_time,pressure_iters,pressure_fallbacks,pressure_pc_fallbacks
reference_direct,0.2726 +- 0.0027,"[4, 4, 4]",0.9956 +- 0.0070,78.8706 +- 1.1802,yes,-,-,-,1.932e-13 +- 1.555e-14,0.0000,0.0000,0.0000,yes,-,-,-,-
meta_blocked,2.0850 +- 0.0060,-,0.9956 +- 0.0070,78.8706 +- 1.1802,1.0000,0.0000,78.3333,3.831e+03,2.701e-09 +- 6.634e-10,0.0000 +- 0.0000,2.277e-09 +- 2.907e-10,4.150e-09 +- 8.868e-10,1.0000,0.0000,60.0000,0.0000,0.0000
