method,setup_time,solve_time,total_time,iterations,fallback_rate,accepted_rate,relative_residual_mean,relative_residual_max,rebuild_rate
traditional,0.0187 +- 1.026e-04,0.0658 +- 6.395e-04,0.0848 +- 7.347e-04,100.0000 +- 0.0000,1.0000 +- 0.0000,1.0000 +- 0.0000,6.465e-16 +- 1.482e-17,7.460e-16 +- 9.877e-18,1.0000 +- 0.0000
reuse,0.0191 +- 3.119e-04,0.0659 +- 7.703e-04,0.0852 +- 0.0011,100.0000 +- 0.0000,1.0000 +- 0.0000,0.2500 +- 0.0000,6.465e-16 +- 1.482e-17,7.460e-16 +- 9.877e-18,0.2500 +- 0.0000
periodic_rebuild,0.0192 +- 3.275e-04,0.0662 +- 5.304e-04,0.0856 +- 7.469e-04,100.0000 +- 0.0000,1.0000 +- 0.0000,0.5000 +- 0.0000,6.465e-16 +- 1.482e-17,7.460e-16 +- 9.877e-18,0.5000 +- 0.0000
change_aware_reuse,0.0188 +- 1.918e-04,0.0657 +- 4.459e-04,0.0848 +- 6.372e-04,100.0000 +- 0.0000,1.0000 +- 0.0000,1.0000 +- 0.0000,6.465e-16 +- 1.482e-17,7.460e-16 +- 9.877e-18,1.0000 +- 0.0000
zero_shot,0.0197 +- 9.908e-05,0.0653 +- 1.987e-04,0.0853 +- 2.624e-04,100.0000 +- 0.0000,1.0000 +- 0.0000,0.2500 +- 0.0000,6.465e-16 +- 1.482e-17,7.460e-16 +- 9.877e-18,0.2500 +- 0.0000
adapted,0.0197 +- 1.249e-04,0.0655 +- 3.283e-04,0.0854 +- 3.516e-04,100.0000 +- 0.0000,1.0000 +- 0.0000,0.2500 +- 0.0000,6.465e-16 +- 1.482e-17,7.460e-16 +- 9.877e-18,0.2500 +- 0.0000
