method,wall_time,picard_iterations,nusselt,rms_velocity,valid_physics,velocity_fallbacks,velocity_solves,velocity_krylov_iters,linear_relative_residual,nusselt_relative_error,rms_velocity_relative_error,velocity_field_relative_error,blocked_solver_valid,direct_fallback_time,pressure_iters,pressure_fallbacks,pressure_pc_fallbacks
reference_direct,0.2772 +- 0.0067,"[4, 4, 4]",0.9956 +- 0.0070,78.8706 +- 1.1802,yes,-,-,-,1.932e-13 +- 1.555e-14,0.0000,0.0000,0.0000,yes,-,-,-,-
meta_blocked,2.1433 +- 0.0286,-,0.9956 +- 0.0070,78.8706 +- 1.1802,1.0000,0.0000,79.0000,3.929e+03,2.561e-09 +- 5.744e-10,0.0000 +- 0.0000,2.351e-09 +- 4.922e-10,3.743e-09 +- 9.411e-10,1.0000,0.0000,60.6667,0.0000,0.0000
