method,wall_time,picard_iterations,nusselt,rms_velocity,valid_physics,velocity_fallbacks,velocity_solves,cg_iters
reference_direct,0.2813 +- 0.0127,"[4, 4, 4]",0.9956 +- 0.0070,78.8706 +- 1.1802,yes,-,-,-
meta_blocked,0.9270 +- 0.0683,-,0.9956 +- 0.0070,78.8706 +- 1.1802,1.0000,0.0000,2.0000,153.0000
