seed,n_nodes,n_tetrahedra,n_boundary_nodes,n_free_nodes,matrix_nnz,min_tetra_volume,max_tetra_volume,assembly_time,solve_time,symmetry_error,solution_relative_error,free_residual_relative_norm,passed
0,128,732,8,120,1858,1.877888142307136e-05,0.012378661715225564,0.16321706771850586,0.0006971359252929688,0.0,6.527765261100908e-16,1.0536965557365284e-15,True
1,128,729,8,120,1852,9.8360322141548e-06,0.012504712770840363,0.10814833641052246,0.0005729198455810547,0.0,7.12826976916994e-16,1.1497740534983644e-15,True
2,128,750,8,120,1894,1.021215625116478e-05,0.01773186177398814,0.03953981399536133,0.0005192756652832031,0.0,2.2596606199795586e-15,1.6655143862721294e-15,True
