adapt_steps,n_seeds,meta_adaptation_time_s,online_setup_change_fraction,setup_speedup,krylov_ratio,wall_reduction_fraction,velocity_field_relative_error
1,3,0.06129304567972819,0.34324707638306556,0.7614122939635695,0.9319978429979039,0.07034580231849157,1.1587239628269503e-09
2,3,0.06435378392537434,0.46277573375346387,0.6867447389598763,0.9353944100419049,0.050042553948723624,1.1215629718064487e-09
3,3,0.06708113352457683,0.4920019534396864,0.6735482844674908,0.9417697841542355,0.04340153767266397,1.028641188315993e-09
