method,setup_time_s,solve_time_s,relative_residual,status
scipy_direct,0.0,0.0009548664093017578,3.1053013577151992e-15,success
pyamg_ruge_stuben,,,,failed
pyamg_smoothed_aggregation,0.002824068069458008,0.015816926956176758,9.655717524586463e-09,success
petsc_cg_gamg,0.0010750293731689453,0.008293867111206055,0.0006944550416706641,success
petsc_gmres_gamg,0.0007190704345703125,0.001046895980834961,1.3215884325938118e-07,success
petsc_gmres_ilu,0.0001239776611328125,0.00010585784912109375,1.3962130167498416e-08,success
petsc_preonly_lu,0.0005786418914794922,2.8133392333984375e-05,3.8822113502029765e-15,success
