method,wall_time,picard_iterations,nusselt,rms_velocity,valid_physics,velocity_fallbacks,velocity_solves,cg_iters
reference_direct,0.2732,4,0.9894,78.6279,yes,-,-,-
meta_blocked,74.3638,4,0.9877,81.6890,yes,83,83,0
